,,,,,,,,,,,,
,Nirion Blessings,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Butterflies,,,,,,,,,,,
,God:,Nirion,,,,Base Morale Requirement:,,,10,,,
,Blessing awarded to Acolytes,,,,,,,,,,,
,"A swarm of of butterflies and other metamorphosing insects gathers around you peacefully. It requires one hour to form when scattered or destroyed. While in nature, it grows to occupy six spaces (2 meter hexes). While in cities, it stays at only three spaces. It usually follows you, but you can use a quick action to mentally order it to move. It can move up to 8 meters a turn. You can order each individual space to move separately. Most proactive physical actions are done with a +1 to difficulty when done from inside a space occupied by the swarm. You can also order the swarm to merge three spaces into one. That concentrated space blocks line of sight and is considered a first level difficult terrain in addition to the normal penalty. The swarm acts as soon as you order it. You lose control of the swarm when you are separated by more than 20 meters.",,,,,,,,,,,
,,,,,,,,,,,,
,Dreamweaver,,,,,,,,,,,
,God:,Nirion,,,,Base Morale Requirement:,,,10,,,
,Blessing awarded to Acolytes,,,,,,,,,,,
,"When you look someone in the eyes, you may weave a dream in their mind. The next time they get into deep sleep within 24 hours, they will dream that dream, an nothing else. The dream can be anything you choose, including no dream at all. You can offer a peaceful dream that recrates 1 point of Morale regeneration that would have been lost by short or uncomfortable sleep, or offer a dreadful nightmare that reduces the Morale regenerated by 1. You can create this effect up to once per Wisdom point between full nights of sleep. You can affect yourself with this effect by looking into a reflective surface.",,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Metamorphosis,,,,,,,,,,,
,God:,Nirion,,,,Base Morale Requirement:,,,20,,,
,Blessing awarded to Clerics,,,,,,,,,,,
,"Whenever you want, you can roll up into a ball and spend an hour inside a silk cocoon that forms around you. When you come out, you've transformed into another member of your species. That form stays until you transform again or breaks down in 15 minutes after the blessing is lost. During the transformation, you may lose 1 point in any body Attribute and gain one point in an other one. You are infertile when transformed and the process is impossible to attempt while pregnant. The transformation fully changes your body and voice. To immitate the appearance of a specific individual, you must know it very well. You must make a Lore roll to immitate them. The difficulty depends on your familiarity with their appearance (from 3 to 9).",,,,,,,,,,,
,,,,,,,,,,,,
,Amabassador,,,,,,,,,,,
,God:,Nirion,,,,Base Morale Requirement:,,,20,,,
,Blessing awarded to Clerics,,,,,,,,,,,
,"You gain a new sense that tells you how close you are to a Fae-touched area and to the Faerie. Your wordly spells and blessings only cost/require one and a half times the Morale (rounded down) when you are in the Faerie rather than twice as much. You can speak and understand the languages of the Fae. The first time a thinking Fae creature attacks or casts a spell on you, they are hit by Nirion's Smite (15D+15 internal damage). This effect can't trigger more than once in a 24 hour period. The Fae feel the threat of the smite.",,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Oneiric Plague,,,,,,,,,,,
,God:,Nirion,,,,Base Morale Requirement:,,,30,,,
,Blessing awarded to Oracles,,,,,,,,,,,
,"When you touch a creature, you may sacrifice this blessing to infect them with Nirion's Oneiric Plague. Within ten minutes and each hour after that, they must make an immunity defense (with a base number of 6) against 7 to avoid falling asleep for an hour. Whenever they sleep for four consecutive hours, they receive a permanent random mutation that reduces a random attribute by 1. Whenever an attribute goes to 0, they die. Creatures afflicted by the Oneiric Plague are only contagious while they are sleeping and can only infect other creatures of their species. Acolytes, Clerics and Oracles of Nirion are never infected by the disease. Vulnerable creatures that touch the diseased sleeper must make an immunity defense against 3, 5 and 7 for a brief (less than 2 seconds), sustained (less than 2 minutes) or prolonged touch. If the defense is a failure, they contract the disease.",,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Suere Blessings,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Pick Me Up,,,,,,,,,,,
,God:,Suere,,,,Base Morale Requirement:,,,10,,,
,Blessing awarded to Acolytes,,,,,,,,,,,
,"When someone (including you) drinks alcohol poured in their mouth by yourself, they instantly recover their Adrenalin value in Stamina for each dose of alcohol they ingest. Doing this requires an action on your part and when pouring the alcohol in someone else's mouth, it offers reaction attacks on them and you. Most people can't drink more than one portion of weak wine or beer, two portions of strongwine or three portions of mead in an action.",,,,,,,,,,,
,,,,,,,,,,,,
,Speak in Tongues,,,,,,,,,,,
,God:,Suere,,,,Base Morale Requirement:,,,10,,,
,Blessing awarded to Acolytes,,,,,,,,,,,
,"When you speak to intoxicated or insane people, you always understand their answers perfectly clearly and they are communicated to you as if you we talking to a sober rational person. You can choose to speak in a way to be only understood by drunk or insane people if you desire. For your interactions with those categories of people, your effective Charisma receives a +3 bonus.",,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Bloodwine,,,,,,,,,,,
,God:,Suere,,,,Base Morale Requirement:,,,20,,,
,Blessing awarded to Clerics,,,,,,,,,,,
,"When you put a few drops of your blood into wine then bottle it and let it sit for two weeks, it becomes bloodwine. Your bloodwine remains bloodwine forever but only has magical properties while this blessing is active. When you try to create of your bloodwine than there is blood in your body, the oldest turns to vinegar and loses any special properties. Therefore, no more than 2 litres + your Size of your bloodwine can exist at once.
One 250 ml drink of bloodwine by anyone else counts as 14 doses of alcohol. Drinking 250 ml of your own bloodwine counts as the number of doses of alcohol you desire. Pouring 750 ml of your bloodwine all over your own body instantly stabilizes all your wounds if you had no open wound. Covering a blade you wield in bloodwine (negligible amount of bloodwine spent, 250 ml required to make it work) makes it transmit 7 doses of alcohol to any creature it draws blood from. Those alcohol doses take effect immediately rather than one minute later.",,,,,,,,,,,
,,,,,,,,,,,,
,Kiss of Madness,,,,,,,,,,,
,God:,Suere,,,,Base Morale Requirement:,,,20,,,
,Blessing awarded to Clerics,,,,,,,,,,,
,"When you invite someone to drink, dance, party, kiss, have sex or indulge in any hedonistic excess and they accept, they must make a Resolve defense against 7 to avoid falling into a trance of indulgent decadence with no care for anything other than raw pleasure that lasts until they don't have access to their decadent behavior anymore. Every hour they can try that defense again to snap out of it before it ends. When someone refuses your invitation, you may sacrifice this blessing to subject them to the same effect as if they accepted.",,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Clarity,,,,,,,,,,,
,God:,Suere,,,,Base Morale Requirement:,,,30,,,
,Blessing awarded to Oracles,,,,,,,,,,,
,"When you are intoxicated on alcohol, you ignore almost all effects of the substance. Instead, each stage of intoxication ""Tipsy"", then ""Drunk"", then ""Very Drunk"", then ""Black Out Drunk"" then ""Pass Out Drunk"" give you a cumulative +1 bonus to Resolve, Intellect, Wisdom and Vigilance. The only two effects of the alcohol you still suffer are the risks of damage and extended recovery when pass out drunk and the hangover. You lose the bonuses while hungover.",,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Aka Blessings,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Understand,,,,,,,,,,,
,God:,Aka,,,,Base Morale Requirement:,,,10,,,
,Blessing awarded to Acolytes,,,,,,,,,,,
,"You can understand and read (but not speak and write) all languages of mankind, living or dead. You automatically detect every logical fallacy in oral or written discourse and understand every figure of speech, expression, double meaning or hidden intention. This makes you immune to the effects of many uses of the Persuasion skill.",,,,,,,,,,,
,,,,,,,,,,,,
,Memorize,,,,,,,,,,,
,God:,Aka,,,,Base Morale Requirement:,,,10,,,
,Blessing awarded to Acolytes,,,,,,,,,,,
