,,Effective Sorcery Score,,,,,,,
,,6,,,,"Interaction,  Alteration,  Prohibition,  Compulsion,  Creation,  Expression, Transportation.",,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Storyteller,,,,,,,,
,School:,Noble Magic,,,,,,Level:,5
,Focus:,Interaction Charm (small cubic item with triangular holes),,,,,,Cost:,2
,Duration:,18,3 turns (15 seconds) per Sorcery Score before offering a new defense,,,,,,
,"When you cast the spell, then sit down and start talking, each creature able to understand your language and hear you talking with any clarity must take no other action than sitting down and listening to you, captivated by your words. This effect remains active as long as you keep talking with no pause of more than two seconds. Creatures entering the effect after it has started are not subjected to it. Once every duration, on their turn, any affected creature can try a Wisdom defense against your Influence Score to end the effect of the spell on them. When a creature previously affected by the spell takes an action other than sitting down, is moved or is threatened, the spell's effect stops for everyone. At the start of the spell, you can modulate the volume of your voice to encompass a larger or smaller area. Creatures that succeeded on a Wisdom defense realise the effect was supernatural. The others can only use their normal judgement to determine that.",,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Halt,,,,,,,,
,School:,Noble Magic,,,,,,Level:,6
,Focus:,Prohibition Charm (small item made of alternating concentric rings),,,,,,Cost:,3
,Defense:,6,Sorcery Score,,,,,,
,"When you cast this spell, you must point toward a creature you can see within 20 meters. That creature can no longer take actions that would change their physical location by more that half a meter. At the end of each of their turns, they can make a Resolve defense to permanently cancel the effect. When something external moves them by 2 meters or more, the effect ends.
Spending a quick action to think about walking forward while trying to take a step backward gives a bonus of +2 the next defense.",,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Question,,,,,,,,
,School:,Noble Magic,,,,,,Level:,7
,Focus:,Compulsion (small star-shaped item with intricate curving lines),,,,,,Cost:,3
,Defense:,6,Sorcery Score,,,,,,
,"When you cast this spell then ask a question to a creature you choose in a language and an manner that they understand, they are magically compelled to answer truthfully. The effect lasts 5 seconds. They can make a Resolve defense to resist the effect. If their defense fails, they must answer your question as directly as possible and can only tell what they perceive to be true. If it succeeds, they may choose to remain silent for the duration of the effect or not answer your question, but they can't lie. Unless they never desired to tell something other than the truth, they always know the magical nature of the effect. You can easily tell when the spell's effect ends, regardless of their defense.",,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Hide,,,,,,,,
,School:,Noble Magic,,,,,,Level:,6
,Focus:,Alteration Charm (small spheric item with intricate lines on its surface),,,,,,Cost:,4
,Defense:,6,Sorcery Score,,,,,,
,Defense:,4,Sorcery Score minus 2,,,,,,
,"When you cast this spell, a 1 meter radius sphere centered around you that distorts light appears, making you and your immediate belongings invisible. The sphere is immobile and vanishes when something solid passes through it. When a creature has any indication of your presence, they can spend 1 tempo to try to perceive the limits of the sphere and localize you in a specific 2 meter hex. This offers them a Vigilance defense against your Sorcery Score (-2 if they are 6 meters away or less).",,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Song of Silence,,,,,,,,
,School:,Noble Magic,,,,,,Level:,5
,Focus:,Expression Charm (small cylindrical item with lines along the length),,,,,,Cost:,2
,Range:,24,Four meters times Sorcery Score,,,,,,
,"When you cast this spell, a worldless song lodges itself in your throat and stays there as long as you keep singing. Maintaining the song spends a quick action each turn and costs 1 Stamina every 30 seconds. Many things can break your concentration on the song, at the GM's discretion, including receiving damage. In normal circumstances, receiving more damage than your Resolve will make you drop the song. The song is clearly audible within the range of the spell but normal acoustics may reduce or enhance that distance. Creatures hearing the song can't hear anything else. All other soundborne magic and effects fail to affect anything in the zone.",,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Elven Side-Step,,,,,,,,
,School:,Noble Magic,,,,,,Level:,5
,Focus:,Transportation Charm (small item in the shape of a 3D square cross),,,,,,Cost:,2
,Range:,24,Four times Sorcery Score,,,,,,
,"When you cast this spell, enchant a pair of boots or shoes you touch. For the next hour, the creature wearing them can choose, once, to use a Step action to side step then teleport anywhere they can see within the range that is no more than one meter higher or lower than they are, even in a creature's controlled space. Damaging the enchanted items in any way ends this effect.",,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Elven Prison,,,,,,,,
,School:,Noble Magic,,,,,,Level:,6
,Focus:,Prohibition Charm (small item made of alternating concentric rings),,,,,,Cost:,3
,Defense:,6,Sorcery Score,,,,,,
,Duration:,36,One minute times Sorcery Score squared ,,,,,,
